core_account_id,series_id,rank,n_ref,name,first_date
386811,c_386811,1,3289441,Matas,2023-01-18
385616,c_385616,2,2390978,Vend Marketplaces AS,2022-09-07
392013,c_392013,3,1925045,Vend Marketplaces OY,2023-11-17
252603,c_252603,4,1767767,Firtal Web A/S,2019-03-30
25,c_25,5,1306988,Entertainment trading Aps,2019-03-21
387459,c_387459,6,971292,DILLING A/S,2024-01-29
257565,c_257565,7,860985,Sinful ApS,2019-08-05
23728,c_23728,8,768021,Luxplus ApS,2019-04-01
399062,c_399062,9,721884,SPORT24,2025-04-28
177708,c_177708,10,586482,Bodylab ApS,2019-04-01
399115,c_399115,11,496246,Vend Marketplaces ApS,2024-11-22
26690,c_26690,12,492012,Med24.dk ApS,2019-06-11
372021,c_372021,13,443875,Cykelgear A/S,2022-01-24
199826,c_199826,14,411558,YarnLiving,2019-07-27
84515,c_84515,15,380167,Watery ApS,2022-11-02
401490,c_401490,16,379330,Blocket,2025-06-23
276385,c_276385,17,376293,WhiteAway A/S,2019-07-01
173537,c_173537,18,375496,Supervin Hjørring A/S,2020-04-08
369661,c_369661,19,349770,MollyogMy ApS,2021-12-03
400181,c_400181,20,349411,Helsam Gruppen,2025-03-26
398131,c_398131,21,311712,GulogGratis.dk A/S,2025-01-27
382027,c_382027,22,311451,Fashionbystrand,2023-01-25
344104,c_344104,23,304346,Ditur.dk ApS,2020-08-26
206225,c_206225,24,303078,LAKRIDS BY BÜLOW,2019-07-18
402473,c_402473,25,282886,Web Sundhed,2025-10-31
376922,c_376922,26,266317,Luksusbaby A/S,2021-11-15
381875,c_381875,27,255295,Yuaia Haircare,2022-05-05
397088,c_397088,28,238199,AO B2C,2024-09-30
400860,c_400860,29,237870,AndrupVin.dk,2025-06-06
402823,c_402823,30,209806,DSF WINE A/S,2025-10-30
96674,c_96674,31,198295,BMD Trading Denmark Aps,2019-04-01
400805,c_400805,32,192314,WanHe,2025-04-04
367319,c_367319,33,178135,Nailster A/S,2021-05-11
287588,c_287588,34,163064,Cykelpartner.dk,2019-10-28
191066,c_191066,35,160149,HK Medie Group ApS,2019-03-29
401743,c_401743,36,158959,PWT Group A/S,2026-02-05
389096,c_389096,37,149115,BoldLight ApS,2023-04-21
394259,c_394259,38,148027,Australian Bodycare,2024-01-12
259225,c_259225,39,142112,Badmintonshoppen-Retur,2021-07-26
218501,c_218501,40,140786,Norlys Holding,2019-03-29
132184,c_132184,41,130855,Hairlust ApS,2019-07-26
378875,c_378875,42,128399,Muscle House,2022-01-13
383286,c_383286,43,122298,Vinylpladen ApS,2022-04-22
403515,c_403515,44,117295,LINDS A/S,2025-11-11
377976,c_377976,45,115616,Tradera Marketplace,2022-03-25
268926,c_268926,46,115314,E-Handel 9000 ApS,2019-08-26
374692,c_374692,47,100165,Onyxcookware ApS,2022-01-11
361328,c_361328,48,91234,Scandinavian Biolabs ApS,2021-02-02
384336,c_384336,49,89697,Too Good To Go ApS,2022-09-01
385902,c_385902,50,81332,Mayflower,2022-10-28
387799,c_387799,51,76389,TKJ Trading Aps,2023-01-11
382201,c_382201,52,73666,BLR APS,2022-07-26
346934,c_346934,53,72652,Myextensions,2021-11-08
392152,c_392152,54,70526,Winther Studio ApS,2023-10-25
403428,c_403428,55,64500,Hong kong Soon limited,2025-11-07
390495,c_390495,56,64076,Quickparts,2023-09-05
9895,c_9895,57,62646,BYIC,2019-07-29
402390,c_402390,58,61314,Shop Group / GLADKOKKEN NO,2025-08-20
365808,c_365808,59,58512,Gastrotools ApS,2021-05-03
402036,c_402036,60,53501,Maya Freya Aps,2025-07-29
389541,c_389541,61,50413,Summerbird A/S,2023-07-04
387231,c_387231,62,48343,avXperten,2024-10-16
403947,c_403947,63,47215,Kicks AB,2026-01-22
405616,c_405616,64,47205,Goodiebox,2026-07-10
399290,c_399290,65,45683,LikeLondon,2025-04-04
397777,c_397777,66,45313,DistributionPlus A/S,2024-10-07
309172,c_309172,67,45204,MAULUND A/S,2020-03-11
382888,c_382888,68,45170,Sindico Group A/S,2022-04-26
384572,c_384572,69,45165,Nail4you Aps,2022-10-17
377298,c_377298,70,45020,Asendia / Parcel4You,2022-03-14
395218,c_395218,71,44744,Cdl Trading Aps,2024-03-06
8156,c_8156,72,44692,Noella Wholesale ApS,2019-03-31
396922,c_396922,73,41880,Le Zest ApS,2024-06-12
290778,c_290778,74,40924,Albert Larsen ApS,2025-02-24
269091,c_269091,75,40752,Saphe A/S,2021-02-18
403230,c_403230,76,38305,FirstGrade ApS,2025-10-28
399224,c_399224,77,35761,Welldium,2025-07-10
402167,c_402167,78,34752,Familien Digetvej ApS,2025-07-29
400434,c_400434,79,33616,Dafolo A/S,2025-11-12
396518,c_396518,80,33021,ENAMEL Copenhagen,2024-05-22
351136,c_351136,81,32948,GoGift.com A/S,2020-11-20
400693,c_400693,82,32721,Helsegrossisten.dk,2025-09-03
402741,c_402741,83,30692,Wavell,2025-09-23
400834,c_400834,84,30680,Aktieselskabet Glerups.dk,2025-05-28
393021,c_393021,85,30511,DanGuitar,2023-10-19
402234,c_402234,86,30162,Beatdown,2025-09-22
395922,c_395922,87,28332,Bevco A/S,2024-04-19
397165,c_397165,88,28150,The Army Painter,2024-08-15
388439,c_388439,89,27840,Kagegrisen.dk ApS,2025-03-28
392004,c_392004,90,27476,Price Mart SL,2023-09-25
401901,c_401901,91,26607,P4U / Corazon,2025-07-14
13877,c_13877,92,26460,Pulsure.dk ApS,2019-04-24
402247,c_402247,93,25437,Perfect Jeans ApS,2025-08-01
387785,c_387785,94,25181,Vinhuset  APS,2024-01-05
382278,c_382278,95,24915,Caprock ApS,2025-11-07
391896,c_391896,96,24638,Kaffekompagniet ApS,2023-09-15
385816,c_385816,97,24274,Entertainment Trading A/S,2022-09-16
400390,c_400390,98,24216,Nordico Supply ApS,2025-05-06
402243,c_402243,99,24182,Ecom World ApS,2025-08-11
400735,c_400735,100,23401,e-handel aps,2025-05-05
399933,g1_tail,101,,,
403351,g1_tail,102,,,
397845,g1_tail,103,,,
352389,g1_tail,104,,,
403192,g1_tail,105,,,
401079,g1_tail,106,,,
390135,g1_tail,107,,,
389932,g1_tail,108,,,
367594,g1_tail,109,,,
395285,g1_tail,110,,,
387780,g1_tail,111,,,
402574,g1_tail,112,,,
404720,g1_tail,113,,,
396110,g1_tail,114,,,
382947,g1_tail,115,,,
399366,g1_tail,116,,,
390549,g2_tail,117,,,
132664,g2_tail,118,,,
397721,g2_tail,119,,,
388019,g2_tail,120,,,
401163,g2_tail,121,,,
26449,g2_tail,122,,,
79561,g2_tail,123,,,
382637,g2_tail,124,,,
218857,g2_tail,125,,,
402222,g2_tail,126,,,
22206,g2_tail,127,,,
400835,g2_tail,128,,,
401647,g2_tail,129,,,
402466,g2_tail,130,,,
383788,g2_tail,131,,,
389020,g2_tail,132,,,
402577,g2_tail,133,,,
247194,g2_tail,134,,,
400944,g2_tail,135,,,
394645,g2_tail,136,,,
385878,g2_tail,137,,,
365387,g3_tail,138,,,
