run_id,experiment,stage,wmape,mae,rmse,bias,wmape_lead_1_7,wmape_lead_8_14,wmape_customers,wmape_tail,network_wmape,n_cells,n_series,n_cutoffs,clipped_cells,runtime_s,eval_sha,notes
20260806T120454Z,000_seasonal_naive,stage1,0.293827,225.691186,652.971050,0.004673,0.271374,0.316407,0.322608,0.229380,0.178293,39438,61,51,0,4.400000,1ff06a3088b3d43e,baseline
20260806T120509Z,001_weekday_profile,stage1,0.265358,203.824116,597.608447,-0.013899,0.250034,0.280769,0.298593,0.190938,0.155110,39438,61,51,0,5.600000,1ff06a3088b3d43e,baseline
20260806T120531Z,000_seasonal_naive,stage1,0.293827,225.691186,652.971050,0.004673,0.271374,0.316407,0.322608,0.229380,0.178293,39438,61,51,0,3.200000,1ff06a3088b3d43e,determinism check: must equal 0.293827
20260806T123109Z,002_holiday_weekday,stage1,0.252898,194.253437,554.432233,-0.018399,0.241718,0.264142,0.285498,0.179899,0.138941,39438,61,51,0,5.400000,1ff06a3088b3d43e,holiday-aware profile + learned special-day factors
20260806T123500Z,003_shape_level,stage1,0.251497,193.176820,536.891454,-0.012180,0.237973,0.265096,0.280787,0.185910,0.140563,39438,61,51,0,4.300000,1ff06a3088b3d43e,weekday shape x deflated 14d level; specials as 002
20260806T123802Z,004_black_friday,stage1,0.247127,189.820097,537.702809,-0.009399,0.233301,0.261030,0.271944,0.191554,0.121181,39438,61,51,0,4.300000,1ff06a3088b3d43e,"BF week bf-4..bf+3 as learned special days, up-clip (0,5)"
20260806T124107Z,005_xmas_window,stage1,0.241686,185.641009,519.407412,-0.012966,0.228214,0.255234,0.266120,0.186972,0.114782,39438,61,51,0,4.500000,1ff06a3088b3d43e,dec20-23 + dec27-30 as learned day-types
20260806T124350Z,006_ascension_bridge,stage1,0.241655,185.617089,519.284066,-0.013198,0.228315,0.255070,0.266047,0.187034,0.114853,39438,61,51,0,4.500000,1ff06a3088b3d43e,ascension+1 bridge Friday as learned day-type
20260806T124611Z,007_bf_per_series,stage1,0.234535,180.148500,480.402347,-0.012694,0.220655,0.248494,0.259996,0.177521,0.114857,39438,61,51,0,5.500000,1ff06a3088b3d43e,"per-series BF multipliers, k=500 shrinkage"
20260806T124838Z,008_xmas_per_series,stage1,0.234196,179.888212,478.518023,-0.011404,0.220577,0.247892,0.259681,0.177130,0.115651,39438,61,51,0,6.800000,1ff06a3088b3d43e,per-series multipliers extended to xmas window group
20260806T125049Z,009_bf_level_info,stage1,0.235733,181.068871,487.536602,-0.016945,0.222180,0.249364,0.261560,0.177901,0.118904,39438,61,51,0,7.800000,1ff06a3088b3d43e,bf days inform level after factor deflation
20260806T125446Z,010_ascension_weeks,stage1,0.233305,179.203559,476.464043,-0.011181,0.219818,0.246868,0.258730,0.176372,0.114084,39438,61,51,0,7.800000,1ff06a3088b3d43e,"ascension/pentecost 3-week damp factors, both directions"
20260806T125800Z,011_summer_weeks,stage1,0.228514,175.523268,464.914717,-0.014621,0.215716,0.241383,0.255661,0.167725,0.105908,39438,61,51,0,9.600000,1ff06a3088b3d43e,ISO weeks 25-32 damp factors; generalized ordered damp groups
20260806T130120Z,012_vac_per_series,stage1,0.233188,179.113547,469.799114,-0.007414,0.221047,0.245397,0.261549,0.169680,0.106041,39438,61,51,0,12.100000,1ff06a3088b3d43e,per-series vacation multipliers over damp days
20260806T130433Z,013_dec_runup,stage1,0.226353,173.863366,449.604644,-0.001081,0.213924,0.238852,0.254228,0.163934,0.095392,39438,61,51,0,10.900000,1ff06a3088b3d43e,runup_w1-3 up-factors anchored pre-BF
20260806T130733Z,014_school_vacations,stage1,0.224800,172.670781,445.790746,-0.000631,0.212358,0.237312,0.253415,0.160725,0.092531,39438,61,51,0,11.500000,1ff06a3088b3d43e,vinterferie wk7-8 + efterårsferie wk41-43 damp groups
20260806T131049Z,015_jan_week1,stage1,0.223218,171.455899,443.084466,-0.004291,0.211154,0.235350,0.251414,0.160082,0.090042,39438,61,51,0,12.200000,1ff06a3088b3d43e,"jan_wk1 up-anomaly, forward base"
20260806T131402Z,016_damped_trend,stage1,0.225594,173.280361,449.344505,-0.001760,0.210969,0.240301,0.253252,0.163660,0.092655,39438,61,51,0,12.600000,1ff06a3088b3d43e,"damped weekly trend, phi=0.5, lead-scaled"
20260806T132219Z,017_lgbm_global,stage1,0.218880,168.123502,483.786508,-0.055538,0.210381,0.227426,0.244186,0.162213,0.106373,39438,61,51,0,210.800000,1ff06a3088b3d43e,"global LGBM, ratio target, L1, per-cutoff training"
20260806T132630Z,017_lgbm_global,stage1,0.218880,168.123502,483.786508,-0.055538,0.210381,0.227426,0.244186,0.162213,0.106373,39438,61,51,0,220.700000,1ff06a3088b3d43e,determinism check: must equal 0.218933
20260806T133143Z,018_blend,stage1,0.210763,161.889243,422.154142,-0.029915,0.200730,0.220853,0.236334,0.153504,0.090822,39438,61,51,0,223.700000,1ff06a3088b3d43e,0.5*015 + 0.5*017
20260806T133942Z,019_blend3,stage1,0.209045,160.568937,429.120890,-0.024410,0.199885,0.218255,0.233281,0.154773,0.090849,39438,61,51,0,364.000000,1ff06a3088b3d43e,equal thirds: 015 + 017-l1 + 017-l2
20260806T134530Z,020_lgbm_basefix,stage1,0.204994,157.457318,408.247799,-0.036826,0.195045,0.214998,0.232265,0.143925,0.088986,39438,61,51,0,212.100000,1ff06a3088b3d43e,base cascade L14->L28->L56 fixes Jan-02 zero-hole
20260806T135249Z,021_blend3_v2,stage1,0.200103,153.700527,391.672654,-0.011839,0.190417,0.209843,0.225597,0.143015,0.078850,39438,61,51,0,366.400000,1ff06a3088b3d43e,equal thirds: 015 + 020-l1 + 020-l2
20260806T135919Z,022_lgbm_edges,stage1,0.204512,157.087748,405.686311,-0.036516,0.193855,0.215229,0.232155,0.142614,0.086758,39438,61,51,0,225.500000,1ff06a3088b3d43e,to_special/since_special distance features
20260806T140826Z,023_blend3_edges,stage1,0.199565,153.287751,390.814438,-0.012450,0.189802,0.209383,0.225112,0.142359,0.077562,39438,61,51,0,385.900000,1ff06a3088b3d43e,blend with edge-v2 heads (xmas excluded from distances)
20260806T141806Z,024_blend3_capacity,stage1,0.199104,152.933743,391.923891,-0.010998,0.188982,0.209283,0.224387,0.142491,0.077855,39438,61,51,0,465.000000,1ff06a3088b3d43e,"num_leaves 127, min_data_in_leaf 20"
